ioc_value,ioc_type,risk_score,risk_level,tags,vt_detected,vt_malicious,vt_suspicious,vt_total_engines,vt_detection_ratio,vt_reputation,vt_categories,abuse_confidence_score,abuse_total_reports,abuse_distinct_users,abuse_country,abuse_isp,abuse_usage_type,shodan_org,shodan_country,shodan_open_ports,shodan_cves,shodan_os,summary,enriched_at
185.220.101.45,ip,44,medium,abusive-ip|country:DE|malicious|tor,True,16,3,94,16/94,-21,,95,105,48,DE,Network for Tor-Exit traffic.,Fixed Line ISP,,,,,,🟡 IOC sospechoso: 185.220.101.45 | VirusTotal: 16/94 motores detectaron amenaza | AbuseIPDB: Confianza de abuso 95% (105 reportes),2026-03-11T16:15:46.094163
45.33.32.156,ip,12,info,cloud|country:US|exposed-ports|has-cves|malicious,True,4,1,94,4/94,0,,0,2,1,US,Linode,Data Center/Web Hosting/Transit,Linode,United States,22|80|123|9929|31337,CVE-2014-0117|CVE-2017-7679|CVE-2017-9798|CVE-2015-3185|CVE-2025-58098|CVE-2015-3183|CVE-2013-4365|CVE-2022-28330|CVE-2021-32791|CVE-2021-32792|CVE-2023-31122|CVE-2024-38476|CVE-2024-38477|CVE-2024-38474|CVE-2024-38475|CVE-2024-38472|CVE-2024-38473|CVE-2009-0796|CVE-2014-0118|CVE-2022-31813,Linux,"ℹ️ IOC informativo: 45.33.32.156 | VirusTotal: 4/94 motores detectaron amenaza | AbuseIPDB: Confianza de abuso 0% (2 reportes) | Shodan: 5 puertos abiertos detectados | Vulnerabilidades conocidas: CVE-2014-0117, CVE-2017-7679, CVE-2017-9798",2026-03-11T16:15:46.095140
198.199.119.148,ip,0,info,,False,0,0,94,0/94,0,,0,0,0,,,,,,,,,ℹ️ IOC informativo: 198.199.119.148 | VirusTotal: 0/94 motores detectaron amenaza,2026-03-11T16:15:46.095786
malware-delivery.ru,domain,0,info,,False,0,0,94,0/94,0,,,,,,,,,,,,,ℹ️ IOC informativo: malware-delivery.ru | VirusTotal: 0/94 motores detectaron amenaza,2026-03-11T16:15:46.096371
phishing-login-secure.com,domain,0,info,,False,0,0,0,0/0,0,,,,,,,,,,,,,ℹ️ IOC informativo: phishing-login-secure.com,2026-03-11T16:15:46.096927
update-windows-patch.net,domain,0,info,,False,0,0,0,0/0,0,,,,,,,,,,,,,ℹ️ IOC informativo: update-windows-patch.net,2026-03-11T16:15:46.097486
44d88612fea8a8f36de82e1278abb02f,hash_md5,94,critical,attachment|detect-debug-environment|direct-cpu-clock-access|known-distributor|malicious|powershell,True,64,0,68,64/68,3725,,,,,,,,,,,,,⚠️ IOC de ALTO RIESGO: 44d88612fea8a8f36de82e1278abb02f | VirusTotal: 64/68 motores detectaron amenaza,2026-03-11T16:15:46.098083
e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,hash_sha256,0,info,,False,0,0,0,0/0,0,,,,,,,,,,,,,ℹ️ IOC informativo: e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,2026-03-11T16:15:46.098657
https://malware-delivery.ru/payload.exe,url,0,info,,False,0,0,0,0/0,0,,,,,,,,,,,,,ℹ️ IOC informativo: https://malware-delivery.ru/payload.exe,2026-03-11T16:15:46.099366
https://phishing-login-secure.com/account/verify,url,0,info,,False,0,0,0,0/0,0,,,,,,,,,,,,,ℹ️ IOC informativo: https://phishing-login-secure.com/account/verify,2026-03-11T16:15:46.100091
8.8.8.8,ip,3,info,country:US|exposed-ports,False,0,0,94,0/94,528,,0,60,30,US,Google LLC,Content Delivery Network,Google LLC,United States,53|443,,,ℹ️ IOC informativo: 8.8.8.8 | VirusTotal: 0/94 motores detectaron amenaza | AbuseIPDB: Confianza de abuso 0% (60 reportes) | Shodan: 2 puertos abiertos detectados,2026-03-11T16:15:46.100879
google.com,domain,0,info,"Search Engines/Portals, AI/ML Applications (alphaMountain.ai)|generative ai - text and code|information technology",False,0,0,94,0/94,687,"generative ai - text and code|information technology|Search Engines/Portals, AI/ML Applications (alphaMountain.ai)|computersandsoftware",,,,,,,,,,,,ℹ️ IOC informativo: google.com | VirusTotal: 0/94 motores detectaron amenaza,2026-03-11T16:15:46.101513
